"PRODUCT_ID","LANGUAGE_ID","TRANSLATED_NAME","TRANSLATED_DESCRIPTION"
1726,"AR","???? LCD 11/PM","???? ??? ????? ???? ????? 11 ????. ???? ?????? ??????? ??? ????? ??????? ??? ??? ???? ????? ?????? ??????."
1726,"CA","Monitor LCD 11/PM","Monitor passiu d'11 polzades de Pantalla de cristall l?quid. La pantalla pr?cticament plana d'alta resoluci? proporciona una qualitat d'imatge excepcional amb reducci? de l'enlluernament."
1726,"CS","Monitor s tekut?mi krystaly 11/PM","Pasivn? monitor s displejem s tekut?mi krystaly o ?hlop???ce 11 palc?. Ploch? obrazovka s vysokou rozli?ovac? schopnost? m? vynikaj?c? kvalitu obrazu se sn??en?m odleskem."
1726,"D","LCD Monitor 11/PM","Liquid Cristal Display 11 Inch Passive Monitor. Blendfreier Flachbildschirm mit hoher Aufl?sung f?r optimale Bildqualit?t."
1726,"DK","LCD-sk?rm 11/PM","11"" passiv LCD-sk?rm (Liquid Cristal Display). Den n?sten flade h?jopl?sningssk?rm giver fremragende billedkvalitet med reduceret genskin."
1726,"E","Monitor LCD 11/PM","Monitor pasivo de 11 pulgadas con pantalla de cristal l?quido. La pantalla virtualmente plana de alta resoluci?n proporciona una calidad de imagen excepcional con menos brillo."
1726,"EL","????? LCD 11/PM","O???? ????? ?????????? passive 11 ??????. ? ?????? ??????? ????? ?????? ???????? ??????? ?????????? ???????? ??????? ?? ????????? ?????????????."
1726,"ESA","Monitor LCD 11/PM","Monitor pasivo de 11 pulgadas con pantalla de cristal l?quido. La pantalla virtualmente plana de alta resoluci?n proporciona una calidad de imagen excepcional con menos brillo."
1726,"F","LCD Monitor 11/PM","Ecran plat passif haute r?solution 11 pouces ? cristaux liquides (LCD) offrant une qualit? d'image exceptionnelle avec un minimum de reflets."
1726,"FRC","LCD Monitor 11/PM","Ecran plat passif haute r?solution 11 pouces ? cristaux liquides (LCD) offrant une qualit? d'image exceptionnelle avec un minimum de reflets."
1726,"HU","11/PM LCD-monitor","11 h?velykes, passz?v LCD-monitor. A szinte t?k?letesen lapos, nagyfelbont?s? k?perny? kit?n? k?pmin?s?get produk?l alacsony t?kr?z?d?s mellett."
1726,"I","Monitor LCD 11/PM","Monitor a cristalli liquidi passivo da 11 pollici. Lo schermo virtualmente piatto e ad alta risoluzione riduce i riflessi e offre immagini di eccellente qualit?."
1726,"IW","??? LCD 11/PM","??? LCD ?????? 11 ????'. ???? ????? ???? ????????? ?????? ???? ?????? ?????? ????? ?? ???? ?????."
1726,"JA","LCD????11/PM","????????11???????????????????????????????????????????????????"
1726,"KO","LCD ??? 11/PM","?? ?? 11?? ?? ???. ????? ?? ??? ?? ? ??? ??? ??? ??? ??? ?????."
1726,"N","LCD-skjerm 11/PM","11-tommers passiv skjerm med flytende krystall. Den bortimot flate skjermen med h?y oppl?sning gir enest?ende bildekvalitet med redusert refleks."
1726,"NL","LCD-monitor 11/PM","Liquid Cristal Display 11-inch passieve monitor. Het vlakke, hoge-resolutie scherm heeft een uitstekende beeldkwaliteit met minder schittering."
1726,"PL","Monitor LCD 11/PM","11-calowy pasywny monitor z wy?wietlaczem ciek?okrystalicznym. P?aski ekran o du?ej rozdzielczo?ci zapewnia doskona?? jako?? obrazu ze zmniejszon? po?wiat?."
1726,"PT","Monitor LCD 11/PM","Monitor com Ecr? de Cristais L?quidos de 11 polegadas e matriz passiva. O ecr? virtualmente plano e de alta resolu??o proporciona uma extraordin?ria qualidade de imagem com brilho reduzido."
1726,"PTB","Monitor LCD 11/PM","Monitor de matriz passiva de 11 polegadas de Tela de Cristal L?quido. A tela de alta resolu??o, praticamente plana, oferece excelente qualidade de imagens com ofusca??o reduzida."
1726,"RO","Monitor LCD 11/PM","Monitor pasiv de 11 inch, afi?aj cu cristale lichide. Ecranul virtual-plat, de ?nalt? rezolu?ie, furnizeaz? o calitate remarcabil? a imaginii cu str?lucire redus?."
1726,"RU","?? ??????? 11/PM","???????????????????? ??????? ? ?????????? 11 ?????? ? ????????? ????????. ??????????-??????? ????? ? ??????? ??????????? ???????????? ???????????? ???????? ??????????? ? ????????? ?????."
1726,"S","LCD-sk?rm 11/PM","Passiv LCD-sk?rm (Liquid Cristal Display) p? 11 tum. Den n?stan platta antireflexbehandlade sk?rmen med h?g uppl?sning ger enast?ende bildkvalitet."
1726,"SF","LCD-n?ytt? 11/PM","11 tuuman LCD-passiivin?ytt?. K?yt?nn?ss? t?ysin tasaisen, korkean n?ytt?tarkkuuden n?yt?n kuvanlaatu on erinomainen. My?s heijastuksia on v?hennetty."
1726,"SK","LCD Monitor 11/PM","Pas?vny 11 palcov? monitor na b?ze kvapaln?ch kry?t?lov. Prakticky ploch? obrazovka s vysok?m rozl??en?m poskytuje vynikaj?cu kvalitu obrazu so zn??en?m odleskom."
1726,"TH","?? LCD 11/PM","???????? LCD ????????????? 11 ???? ??????????????????????????????????????????????????????????????????????? ??????????????????"
1726,"TR","LCD Monit?r 11/PM","Likit Kristal Ekran 11 in? pasif monit?r. Sanal olarak d?z, y?ksek ??z?n?rl?kl? ekran azalt?lm?? parlakl?kla se?kin bir g?r?nt? kalitesine sahiptir."
1726,"US","LCD Monitor 11/PM","Liquid Cristal Display 11 inch passive monitor. The virtually-flat, high-resolution screen delivers outstanding image quality with reduced glare."
1726,"ZHS","LCD ??? 11/PM","11 ???????????????????, ????, ??????????"
1726,"ZHT","LCD ?? 11/PM","11 ????????????????????????????????"
1729,"AR","???? ??????? - RCP","???? ????? ??????? - 3500 ???? ????? ?????????"
1729,"CA","Productes qu?mics - RCP","Productes Qu?mics de Neteja- 3500 fulls de neteja enrotllats"
1729,"CS","Chemik?lie - RCP","Chemik?lie na ?i?t?n? - 3500 kapesn??k? na ?i?t?n? v?lc?"
1729,"D","Chemicals - RCP","Chemisches Reinigungsmittel - 3500 Pads"
1729,"DK","Kemikalier - RCP","Rensekemikalier - 3500 renseklude til rulle"
1729,"E","Productos Qu?micos - RCP","Productos Qu?micos de Limpieza: 3500 almohadillas de limpieza de rodillos"
1729,"EL","?????? ???????? - RCP","?????? ???????? ?????????? - 3500 ?????????? ?????????? ?????????"
1729,"ESA","Productos Qu?micos - RCP","Productos Qu?micos de Limpieza: 3500 almohadillas de limpieza de rodillos"
1729,"F","Chemicals - RCP","Nettoyant chimique - tampons de nettoyage en rouleau (3500)"
1729,"FRC","Chemicals - RCP","Nettoyant chimique - tampons de nettoyage en rouleau (3500)"
1729,"HU","Vegyszerek - RCP","Tiszt?t?szerek - 3500 g?rg?tiszt?t?"
1729,"I","Sostanze chimiche - RCP","Sostanze chimiche per pulizia - 3500 tamponi"
1729,"IW","????? ????? - RCP","????? ????? - 3500 ???? ??????"
1729,"JA","???? - RCP","??????????? - ??????????????3500?"
1729,"KO","?? ?? - RCP","??? ?? ?? - 3500 ?? ?? ??"
1729,"N","Kjemikalier - RCP","Rengj?ringskjemikalier - 3500 rengj?ringsputer i rull"
1729,"NL","Chemische producten - RR","Chemische reinigingsproducten - 3500 reinigingsrollers"
1729,"PL","?rodki czyszcz?ce - RCP","?rodki czyszcz?ce - ?ciereczki czyszcz?ce, 3500 sztuk."
1729,"PT","Qu?micos - RCP","Produtos Qu?micos de Limpeza - 3500 almofadas de limpeza de rolos"
1729,"PTB","Produtos Qu?micos - RCP","Produtos qu?micos de limpeza - 3500 RCP (roller clean pads - rolos de limpeza)"
1729,"RO","Chimicale - RCP","Chimicale de cur??at - 3500 lavete de cur??are, pentru rulou"
1729,"RU","???????? ???????? - RCP","???????? ???????? - 3500 ????????? ??? ?????? ??????"
1729,"S","Kemikalier - RCP","Reng?ringsmedel - 3 500 reng?ringsrullar"
1729,"SF","Kemikaalit - RCP","Puhdistuskemikaalit - 3500 telanpuhdistustyyny?."
1729,"SK","Chemik?lie - RCP","Chemik?lie na ?istenie - 3500 tamp?nov na ?istenie valcov"
1729,"TH","??????? - RCP","?????????????????? - ??????????????? 3500 ????"
1729,"TR","Kimyasal Maddeler - RCP","Kimyasal Temizlik Malzemeleri - 3500 silindir temizlik pe?etesi"
1729,"US","Chemicals - RCP","Cleaning Chemicals - 3500 roller clean pads"
1729,"ZHS","???? - RCP","??????? - 3500 ?????"
1729,"ZHT","???? - RCP","?????? - 3500 ?????"
1733,"AR","PS 220V /UK","??? ???? ???? 220 ???? - ??????? ???????"
1733,"CA","PS 220V /UK","Tipus de font d'alimentaci? de 220 V - Regne Unit"
1733,"CS","PS 220V /UK","Nap?jec? zdroj 220 Volt? - typ pro Spojen? kr?lovstv?"
1733,"D","PS 220V /UK","220 Volt Stromversorgung - Gro?britannien"
1733,"DK","PS 220V /UK","220V str?mforsyning, type - Storbritannien"
1733,"E","PS 220V /UK","Tipo de fuente de alimentaci?n de 220 V: Reino Unido"
1733,"EL","PS 220V /UK","?????????? 220V - ????? ???????? ?????????"
1733,"ESA","PS 220V /UK","Tipo de fuente de alimentaci?n de 220 V: Reino Unido"
1733,"F","PS 220V /UK","Alimentation 220 V - Royaume-Uni"
1733,"FRC","PS 220V /UK","Alimentation 220 V - Royaume-Uni"
1733,"HU","PS 220V /UK","220 voltos t?pegys?g, az Egyes?lt Kir?lys?gban haszn?lhat?"
1733,"I","PS 220V /UK","Tipo alimentazione 220V - Regno Unito"
1733,"IW","PS 220V /UK","??? ??? 220V - ???????"
1733,"JA","PS 220V /UK","220V??????? - ????"
1733,"KO","PS 220V /UK","220V ?? ??? ?? - ??"
1733,"N","PS 220V /UK","220 V str?mforsyningsenhet - Storbritannia"
1733,"NL","PS 220V /UK","220V voeding type - Groot-Brittanni?"
1733,"PL","PS 220V /UK","Zasilacz 220 V - standard brytyjski."
1733,"PT","PS 220V /UK","Fonte de Alimenta??o de 220V - Reino Unido"
1733,"PTB","PS 220V /UK","Tipo de alimenta??o de 220V - Reino Unido"
1733,"RO","PS 220V /UK","Surs? de alimentare 220V - Marea Britanie"
1733,"RU","PS 220V /UK","???? ??????? 220 ? - ??? ??????????????"
1733,"S","PS 220V /UK","Kraftaggregat f?r 220 V - Storbritannien"
1733,"SF","Virtal?hde 220V /UK","220 voltin virtal?hde Iso-Britannian s?hk?j?rjestelm??n."
1733,"SK","PS 220V /UK","220 V zdroj - Spojen? kr??ovstvo"
1733,"TH","PS 220V /UK","??????????????????? 220 ????? ???????????????????"
1733,"TR","PS 220V /UK","220V G?? kayna?? tipi - ?ngiltere"
1733,"US","PS 220V /UK","220V Power supply type - United Kingdom"
1733,"ZHS","PS 220V /UK","220V ???? - ??"
1733,"ZHT","PS 220V /UK","220V ??????? - ??"
1734,"AR","???? RS232 10/AM","???? RS232 10 ????? ??????? M/M ? 9M/25M"
1734,"CA","Cable RS232 10/AM","Cable RS232 de 3 m amb adaptadors M/M i 9M/25M"
1734,"CS","Kabel RS232 10/AM","Kabel RS232 10 stop, s adapt?ry M/M a 9M/25M"
1734,"D","Cable RS232 10/AM","RS232-Kabel mit M/M und 9M/25M-Adaptern"
1734,"DK","Kabel RS232 10/AM","RS232-kabel, 10 fod, med M/M- og 9M/25M-adaptere"
1734,"E","Cable RS232 10/AM","Cable RS232 con adaptadores M/M y 9M/25M de 3,05 m (10 pies)"
1734,"EL","??????? RS232 10/AM","??????? 3 ?????? RS232 ?? ???????????? M/M ??? 9M/25M"
1734,"ESA","Cable RS232 10/AM","Cable RS232 con adaptadores M/M y 9M/25M de 3,05 m (10 pies)"
1734,"F","Cable RS232 10/AM","Cordon RS232 10 pieds avec adaptateurs M/M et 9M/25M"
1734,"FRC","Cable RS232 10/AM","Cordon RS232 10 pieds avec adaptateurs M/M et 9M/25M"
1734,"HU","RS232 10/AM k?bel","10 l?b RS232-es k?bel, M/M ?s 9M/25M csatlakoz?val"
1734,"I","Cavo RS232 10/AM","Cavo RS232 10 ft con adattatori M/M e 9M/25M"
1734,"IW","??? RS232 10/AM","??? RS232 3 ??? ?? ?????? M/M ?-9M/25M"
1734,"JA","????RS232 10/AM","RS232?????3m?M/M???9M/25M??????"
1734,"KO","??? RS232 10/AM","10?? RS232 ???? M/M ? 9M/25M ???"
1734,"N","Kabel RS232 10/AM","10-fots RS232-kabel med M/M- og 9M/25M-adaptere"
1734,"NL","Kabel RS232 10/AM","RS232-kabel (3 mtr) met M/M- en 9M/25M-adapters"
1734,"PL","Kabel RS232 10/AM","3-metrowy kabel RS232 z przej?ci?wkami m?ska/m?ska i 9-m?ska/25-m?ska."
1734,"PT","Cabo RS232 10/AM","Cabo RS232 de 10 p?s (3,05 metros) com adaptadores M/M e 9M/25M"
1734,"PTB","Cabo RS232 10/AM","Cabo RS232 de 10 p?s com adaptadores M/M e 9M/25M"
1734,"RO","Cablu RS232 10/AM","Cablu RS232 de 10 picioare, cu adaptori M/M ?i 9M/25M"
1734,"RU","?????? RS232 10/AM","?????? RS232 ?????? 10 ????? ? ????????????? M/M ? 9M/25M"
1734,"S","Kabel RS232 10/AM","RS232-kabel p? 8 m med M/M- och 9M/25M-adaptrar"
1734,"SF","Kaapeli RS232 10/AM","3,0 metrin RS232-kaapeli M/M- ja 9M/25M-sovittimilla."
